locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
1948,"Compton","o3",0.027,"2022-12-29T23:00:00+00:00","2022-12-29T15:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.8,"2022-12-29T23:00:00+00:00","2022-12-29T15:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.8,"2022-12-29T22:00:00+00:00","2022-12-29T14:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-29T22:00:00+00:00","2022-12-29T14:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.033,"2022-12-29T22:00:00+00:00","2022-12-29T14:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0054,"2022-12-29T22:00:00+00:00","2022-12-29T14:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-29T21:00:00+00:00","2022-12-29T13:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.033,"2022-12-29T21:00:00+00:00","2022-12-29T13:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","pm25",8.3,"2022-12-29T21:00:00+00:00","2022-12-29T13:00:00-08:00","µg/m³",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","no2",0.0046,"2022-12-29T21:00:00+00:00","2022-12-29T13:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","co",0.1,"2022-12-29T20:00:00+00:00","2022-12-29T12:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
1948,"Compton","o3",0.034,"2022-12-29T20:00:00+00:00","2022-12-29T12:00:00-08:00","ppm",33.9014,-118.205,"US","",false,"","Governmental Organization","reference grade"
